update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
10-30-2020,12:45,Putnam,101,0,"1,654",Northwest,
10-30-2020,12:45,Randolph,"1,358",15,"16,396",Southern,
10-30-2020,12:45,Richland,347,18,"8,155",Southeast Central,
10-30-2020,12:45,Rock Island,"4,349",95,"76,360",Northwest,Davenport
10-30-2020,12:45,Saline,637,11,"8,713",Southern,
10-30-2020,12:45,Sangamon,"4,450",64,"137,907",Central,Springfield
10-30-2020,12:45,Schuyler,101,1,"2,350",West Central,
10-30-2020,12:45,Scott,116,0,"2,892",Central,
10-30-2020,12:45,Shelby,746,12,"9,022",Central,
10-30-2020,12:45,St. Clair,"8,247",224,"109,596",Southwest Central,St_Louis
