date,region,id,ICUAvail,ICUCapacity,VentsAvailable,VentsCapacity
2021-01-11,Region 7,7,44,162,86,139
2021-01-11,Region 8,8,81,324,363,581
2021-01-11,Region 9,9,51,194,232,295
2021-01-12,Region 1,1,43,179,240,343
2021-01-12,Region 10,10,157,733,636,928
2021-01-12,Region 11,11,230,936,1278,1772
2021-01-12,Region 2,2,60,255,388,489
2021-01-12,Region 3,3,36,160,324,421
2021-01-12,Region 4,4,17,113,117,164
2021-01-12,Region 5,5,18,89,243,258
2021-01-12,Region 6,6,48,160,282,323
2021-01-12,Region 7,7,48,162,83,139
2021-01-12,Region 8,8,84,324,371,581
2021-01-12,Region 9,9,47,194,237,295
2021-01-13,Region 1,1,41,179,259,343
2021-01-13,Region 10,10,147,733,630,928
2021-01-13,Region 11,11,237,937,1291,1773
2021-01-13,Region 2,2,55,255,390,489
2021-01-13,Region 3,3,33,160,329,421
2021-01-13,Region 4,4,16,113,127,166
2021-01-13,Region 5,5,20,91,241,258
2021-01-13,Region 6,6,49,160,266,323
2021-01-13,Region 7,7,41,162,90,139
2021-01-13,Region 8,8,81,324,384,581
2021-01-13,Region 9,9,49,194,241,295
2021-01-14,Region 1,1,36,179,253,337
2021-01-14,Region 10,10,162,733,630,928
2021-01-14,Region 11,11,240,937,1335,1774
2021-01-14,Region 2,2,59,255,395,489
2021-01-14,Region 3,3,30,163,328,421
2021-01-14,Region 4,4,21,113,123,164
2021-01-14,Region 5,5,26,91,244,258
2021-01-14,Region 6,6,56,160,265,323
2021-01-14,Region 7,7,36,162,94,140
2021-01-14,Region 8,8,75,324,382,581
2021-01-14,Region 9,9,48,194,244,295
2021-01-15,Region 1,1,41,181,248,337
2021-01-15,Region 10,10,150,733,621,928
2021-01-15,Region 11,11,243,938,1322,1778
2021-01-15,Region 2,2,62,255,395,489
2021-01-15,Region 3,3,28,163,321,421
2021-01-15,Region 4,4,25,113,121,164
2021-01-15,Region 5,5,26,91,244,258
2021-01-15,Region 6,6,49,160,262,323
2021-01-15,Region 7,7,36,162,96,140
2021-01-15,Region 8,8,84,324,394,581
2021-01-15,Region 9,9,50,194,245,295
2021-01-16,Region 1,1,46,181,249,337
2021-01-16,Region 10,10,160,733,634,928
2021-01-16,Region 11,11,290,937,1281,1773
2021-01-16,Region 2,2,72,255,402,489
2021-01-16,Region 3,3,28,163,336,421
2021-01-16,Region 4,4,20,103,118,164
2021-01-16,Region 5,5,21,91,243,258
2021-01-16,Region 6,6,37,160,266,323
2021-01-16,Region 7,7,42,162,87,140
2021-01-16,Region 8,8,104,324,384,581
2021-01-16,Region 9,9,50,194,236,295
2021-01-17,Region 1,1,53,181,251,337
2021-01-17,Region 10,10,164,733,629,928
2021-01-17,Region 11,11,285,937,1267,1774
2021-01-17,Region 2,2,75,255,403,489
2021-01-17,Region 3,3,43,163,333,421
2021-01-17,Region 4,4,25,102,115,164
