date,category,perc,count,baseline
2020-09-08,CCDD CDC Pneumonia CCDD v1,2.358155,298,12637
2020-09-08,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.5639,324,12637
2020-09-08,SUBSYNDROME ShortnessOfBreath,6.417662,811,12637
2020-09-07,CCDD CDC Pneumonia CCDD v1,2.291138,280,12221
2020-09-07,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.364782,289,12221
2020-09-07,SUBSYNDROME ShortnessOfBreath,5.449636,666,12221
2020-09-06,CCDD CDC Pneumonia CCDD v1,2.309596,252,10911
2020-09-06,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.410412,263,10911
2020-09-06,SUBSYNDROME ShortnessOfBreath,5.132435,560,10911
2020-09-05,CCDD CDC Pneumonia CCDD v1,2.108837,236,11191
2020-09-05,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.466268,276,11191
2020-09-05,SUBSYNDROME ShortnessOfBreath,4.977214,557,11191
2020-09-04,CCDD CDC Pneumonia CCDD v1,2.373962,283,11921
2020-09-04,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.583676,308,11921
2020-09-04,SUBSYNDROME ShortnessOfBreath,5.930711,707,11921
2020-09-03,CCDD CDC Pneumonia CCDD v1,2.429876,298,12264
2020-09-03,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.609263,320,12264
2020-09-03,SUBSYNDROME ShortnessOfBreath,6.082844,746,12264
2020-09-02,CCDD CDC Pneumonia CCDD v1,2.447751,301,12297
2020-09-02,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.789298,343,12297
2020-09-02,SUBSYNDROME ShortnessOfBreath,5.977068,735,12297
2020-09-01,CCDD CDC Pneumonia CCDD v1,2.323266,280,12052
2020-09-01,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.854298,344,12052
2020-09-01,SUBSYNDROME ShortnessOfBreath,5.94922,717,12052
2020-08-31,CCDD CDC Pneumonia CCDD v1,2.391946,316,13211
2020-08-31,CCDD CLI CC with CLI DD and Coronavirus DD v1,2.861252,378,13211
2020-08-31,SUBSYNDROME ShortnessOfBreath,6.517296,861,13211
