county,date,measure,group,cases,tested
Adams,2020-12-07,race,NH/PI*,0,47
Adams,2020-12-07,race,Other,0,111
Adams,2020-12-07,race,White,1255,20845
Adams,2020-12-06,age,<20,7,4
Adams,2020-12-06,age,20-29,9,6
Adams,2020-12-06,age,30-39,6,9
Adams,2020-12-06,age,40-49,4,7
Adams,2020-12-06,age,50-59,8,1
Adams,2020-12-06,age,60-69,5,5
Adams,2020-12-06,age,70-79,3,3
Adams,2020-12-06,age,80+,2,8
Adams,2020-12-06,age,Unknown,1,2
Adams,2020-12-06,gender,Female,2582,38285
Adams,2020-12-06,gender,Male,2204,26539
Adams,2020-12-06,gender,Unknown/Left Blank,270,5557
Adams,2020-12-06,race,AI/AN**,0,24
Adams,2020-12-06,race,Asian,0,102
Adams,2020-12-06,race,Black,85,674
Adams,2020-12-06,race,Hispanic,10,172
Adams,2020-12-06,race,Left Blank,3699,48464
Adams,2020-12-06,race,NH/PI*,0,45
Adams,2020-12-06,race,Other,0,111
Adams,2020-12-06,race,White,1245,20789
Adams,2020-12-05,age,<20,7,4
Adams,2020-12-05,age,20-29,9,6
Adams,2020-12-05,age,30-39,6,9
Adams,2020-12-05,age,40-49,4,7
Adams,2020-12-05,age,50-59,8,1
Adams,2020-12-05,age,60-69,5,5
Adams,2020-12-05,age,70-79,3,3
Adams,2020-12-05,age,80+,2,8
Adams,2020-12-05,age,Unknown,1,2
Adams,2020-12-05,gender,Female,2571,37973
Adams,2020-12-05,gender,Male,2196,26430
Adams,2020-12-05,gender,Unknown/Left Blank,271,5555
Adams,2020-12-05,race,AI/AN**,0,24
Adams,2020-12-05,race,Asian,0,101
Adams,2020-12-05,race,Black,85,671
Adams,2020-12-05,race,Hispanic,9,172
Adams,2020-12-05,race,Left Blank,3689,48082
Adams,2020-12-05,race,NH/PI*,0,45
Adams,2020-12-05,race,Other,0,110
Adams,2020-12-05,race,White,1238,20753
Adams,2020-12-04,age,<20,7,4
Adams,2020-12-04,age,20-29,9,6
Adams,2020-12-04,age,30-39,6,9
Adams,2020-12-04,age,40-49,4,7
Adams,2020-12-04,age,50-59,8,1
Adams,2020-12-04,age,60-69,5,5
Adams,2020-12-04,age,70-79,3,3
Adams,2020-12-04,age,80+,2,8
Adams,2020-12-04,age,Unknown,1,2
Adams,2020-12-04,gender,Female,2542,37100
Adams,2020-12-04,gender,Male,2176,25841
Adams,2020-12-04,gender,Unknown/Left Blank,277,5518
Adams,2020-12-04,race,AI/AN**,0,24
Adams,2020-12-04,race,Asian,0,99
Adams,2020-12-04,race,Black,86,664
Adams,2020-12-04,race,Hispanic,8,171
Adams,2020-12-04,race,Left Blank,3655,46911
Adams,2020-12-04,race,NH/PI*,0,45
Adams,2020-12-04,race,Other,0,108
Adams,2020-12-04,race,White,1230,20437
Adams,2020-12-03,age,<20,7,4
Adams,2020-12-03,age,20-29,9,6
Adams,2020-12-03,age,30-39,6,9
Adams,2020-12-03,age,40-49,4,7
Adams,2020-12-03,age,50-59,8,1
Adams,2020-12-03,age,60-69,5,5
Adams,2020-12-03,age,70-79,3,3
Adams,2020-12-03,age,80+,2,8
Adams,2020-12-03,age,Unknown,1,2
Adams,2020-12-03,gender,Female,2518,36619
Adams,2020-12-03,gender,Male,2153,25491
Adams,2020-12-03,gender,Unknown/Left Blank,270,5428
Adams,2020-12-03,race,AI/AN**,0,24
Adams,2020-12-03,race,Asian,0,99
Adams,2020-12-03,race,Black,87,662
Adams,2020-12-03,race,Hispanic,8,171
Adams,2020-12-03,race,Left Blank,3611,46033
Adams,2020-12-03,race,NH/PI*,0,45
Adams,2020-12-03,race,Other,0,108
Adams,2020-12-03,race,White,1220,20396
Adams,2020-12-02,age,<20,6,4
Adams,2020-12-02,age,20-29,8,6
Adams,2020-12-02,age,30-39,5,9
Adams,2020-12-02,age,40-49,4,7
Adams,2020-12-02,age,50-59,7,1
Adams,2020-12-02,age,60-69,5,5
Adams,2020-12-02,age,70-79,3,3
Adams,2020-12-02,age,80+,2,8
Adams,2020-12-02,age,Unknown,1,2
Adams,2020-12-02,gender,Female,2492,35902
Adams,2020-12-02,gender,Male,2128,25051
Adams,2020-12-02,gender,Unknown/Left Blank,266,5129
Adams,2020-12-02,race,AI/AN**,0,24
Adams,2020-12-02,race,Asian,0,98
Adams,2020-12-02,race,Black,86,652
Adams,2020-12-02,race,Hispanic,8,171
Adams,2020-12-02,race,Left Blank,3566,44786
Adams,2020-12-02,race,NH/PI*,0,43
Adams,2020-12-02,race,Other,0,107
Adams,2020-12-02,race,White,1211,20201
Adams,2020-12-01,age,<20,7,4
Adams,2020-12-01,age,20-29,9,6
Adams,2020-12-01,age,30-39,5,9
Adams,2020-12-01,age,40-49,4,7
Adams,2020-12-01,age,50-59,8,1
Adams,2020-12-01,age,60-69,6,5
Adams,2020-12-01,age,70-79,3,3
Adams,2020-12-01,age,80+,2,8
Adams,2020-12-01,age,Unknown,1,2
Adams,2020-12-01,gender,Female,2465,35476
Adams,2020-12-01,gender,Male,2112,24670
Adams,2020-12-01,gender,Unknown/Left Blank,261,4967
Adams,2020-12-01,race,AI/AN**,0,24
Adams,2020-12-01,race,Asian,0,96
Adams,2020-12-01,race,Black,85,639
Adams,2020-12-01,race,Hispanic,7,169
Adams,2020-12-01,race,Left Blank,3524,44087
Adams,2020-12-01,race,NH/PI*,0,43
Adams,2020-12-01,race,Other,0,106
Adams,2020-12-01,race,White,1206,19949
Adams,2020-11-30,age,<20,7,4
Adams,2020-11-30,age,20-29,9,6
Adams,2020-11-30,age,30-39,5,9
Adams,2020-11-30,age,40-49,4,7
Adams,2020-11-30,age,50-59,8,1
Adams,2020-11-30,age,60-69,6,5
Adams,2020-11-30,age,70-79,3,3
Adams,2020-11-30,age,80+,2,8
Adams,2020-11-30,age,Unknown,1,2
Adams,2020-11-30,gender,Female,2440,35153
Adams,2020-11-30,gender,Male,2089,24380
Adams,2020-11-30,gender,Unknown/Left Blank,246,4912
