date,group,positive_cases
2020-08-28,50-59,248
2020-08-28,60-69,175
2020-08-28,70-79,104
2020-08-28,80+,64
2020-08-27,<20,407
2020-08-27,20-29,558
2020-08-27,30-39,287
2020-08-27,40-49,290
2020-08-27,50-59,279
2020-08-27,60-69,195
2020-08-27,70-79,100
2020-08-27,80+,64
2020-08-26,<20,373
2020-08-26,20-29,420
2020-08-26,30-39,220
2020-08-26,40-49,224
2020-08-26,50-59,247
2020-08-26,60-69,138
2020-08-26,70-79,88
2020-08-26,80+,54
2020-08-25,<20,409
2020-08-25,20-29,556
2020-08-25,30-39,262
2020-08-25,40-49,306
2020-08-25,50-59,254
2020-08-25,60-69,184
2020-08-25,70-79,89
2020-08-25,80+,56
2020-08-24,<20,309
2020-08-24,20-29,401
2020-08-24,30-39,278
2020-08-24,40-49,209
2020-08-24,50-59,233
2020-08-24,60-69,147
2020-08-24,70-79,100
2020-08-24,80+,54
2020-08-23,<20,301
2020-08-23,20-29,397
2020-08-23,30-39,241
2020-08-23,40-49,206
2020-08-23,50-59,217
2020-08-23,60-69,159
2020-08-23,70-79,57
2020-08-23,80+,24
2020-08-22,<20,462
2020-08-22,20-29,631
2020-08-22,30-39,337
2020-08-22,40-49,320
2020-08-22,50-59,305
2020-08-22,60-69,170
2020-08-22,70-79,92
2020-08-22,80+,44
2020-08-21,<20,358
2020-08-21,20-29,498
2020-08-21,30-39,345
2020-08-21,40-49,339
2020-08-21,50-59,293
2020-08-21,60-69,209
2020-08-21,70-79,140
2020-08-21,80+,45
2020-08-20,<20,342
2020-08-20,20-29,527
2020-08-20,30-39,356
2020-08-20,40-49,294
2020-08-20,50-59,305
2020-08-20,60-69,165
2020-08-20,70-79,79
2020-08-20,80+,60
2020-08-19,<20,370
2020-08-19,20-29,451
2020-08-19,30-39,329
2020-08-19,40-49,287
2020-08-19,50-59,310
2020-08-19,60-69,183
2020-08-19,70-79,99
2020-08-19,80+,79
2020-08-18,<20,349
2020-08-18,20-29,394
2020-08-18,30-39,289
2020-08-18,40-49,244
2020-08-18,50-59,284
2020-08-18,60-69,173
2020-08-18,70-79,87
2020-08-18,80+,61
2020-08-17,<20,307
2020-08-17,20-29,368
2020-08-17,30-39,242
2020-08-17,40-49,274
2020-08-17,50-59,228
2020-08-17,60-69,150
2020-08-17,70-79,94
2020-08-17,80+,69
2020-08-16,<20,322
2020-08-16,20-29,417
2020-08-16,30-39,315
2020-08-16,40-49,260
2020-08-16,50-59,247
2020-08-16,60-69,153
2020-08-16,70-79,66
2020-08-16,80+,38
2020-08-15,<20,248
2020-08-15,20-29,336
2020-08-15,30-39,229
2020-08-15,40-49,244
2020-08-15,50-59,220
2020-08-15,60-69,117
2020-08-15,70-79,59
2020-08-15,80+,46
2020-08-14,<20,321
2020-08-14,20-29,489
2020-08-14,30-39,332
2020-08-14,40-49,311
2020-08-14,50-59,295
2020-08-14,60-69,176
2020-08-14,70-79,91
2020-08-14,80+,102
2020-08-13,<20,334
2020-08-13,20-29,475
2020-08-13,30-39,335
2020-08-13,40-49,298
2020-08-13,50-59,269
2020-08-13,60-69,178
2020-08-13,70-79,79
2020-08-13,80+,59
2020-08-12,<20,277
2020-08-12,20-29,392
2020-08-12,30-39,270
2020-08-12,40-49,282
2020-08-12,50-59,259
2020-08-12,60-69,161
2020-08-12,70-79,89
2020-08-12,80+,83
2020-08-11,<20,250
2020-08-11,20-29,384
2020-08-11,30-39,248
2020-08-11,40-49,231
2020-08-11,50-59,216
2020-08-11,60-69,147
2020-08-11,70-79,70
2020-08-11,80+,52
2020-08-10,<20,256
2020-08-10,20-29,386
2020-08-10,30-39,308
2020-08-10,40-49,237
2020-08-10,50-59,192
2020-08-10,60-69,125
2020-08-10,70-79,75
2020-08-10,80+,57
2020-08-09,<20,220
2020-08-09,20-29,344
2020-08-09,30-39,231
2020-08-09,40-49,181
2020-08-09,50-59,149
2020-08-09,60-69,110
2020-08-09,70-79,69
2020-08-09,80+,63
2020-08-08,<20,281
2020-08-08,20-29,410
2020-08-08,30-39,274
2020-08-08,40-49,240
2020-08-08,50-59,186
2020-08-08,60-69,159
2020-08-08,70-79,82
2020-08-08,80+,53
2020-08-07,<20,332
2020-08-07,20-29,472
2020-08-07,30-39,367
2020-08-07,40-49,301
2020-08-07,50-59,278
2020-08-07,60-69,169
2020-08-07,70-79,106
2020-08-07,80+,77
2020-08-06,<20,322
2020-08-06,20-29,551
2020-08-06,30-39,316
2020-08-06,40-49,305
2020-08-06,50-59,283
2020-08-06,60-69,174
2020-08-06,70-79,77
2020-08-06,80+,71
2020-08-05,<20,258
2020-08-05,20-29,380
2020-08-05,30-39,283
2020-08-05,40-49,274
2020-08-05,50-59,255
2020-08-05,60-69,191
2020-08-05,70-79,96
2020-08-05,80+,66
2020-08-04,<20,291
2020-08-04,20-29,399
2020-08-04,30-39,266
2020-08-04,40-49,238
2020-08-04,50-59,232
2020-08-04,60-69,133
2020-08-04,70-79,70
2020-08-04,80+,56
2020-08-03,<20,272
2020-08-03,20-29,361
2020-08-03,30-39,271
2020-08-03,40-49,260
2020-08-03,50-59,185
2020-08-03,60-69,140
2020-08-03,70-79,65
2020-08-03,80+,39
2020-08-02,<20,192
2020-08-02,20-29,243
2020-08-02,30-39,206
2020-08-02,40-49,153
