date,County,youthCaseCount,youthCaseTested
2020-11-01,Unassigned,8,6626
2020-11-01,Union,88,895
2020-11-01,Vermilion,354,5796
2020-11-01,Wabash,58,525
2020-11-01,Warren,51,595
2020-11-01,Washington,54,569
2020-11-01,Wayne,99,915
2020-11-01,White,41,806
2020-11-01,Whiteside,229,3398
2020-11-01,Will,2734,32515
2020-11-01,Williamson,307,3377
2020-11-01,Winnebago,1814,22794
2020-11-01,Woodford,156,3297
2020-10-25,Adams,293,3360
2020-10-25,Alexander,8,156
2020-10-25,Bond,87,703
2020-10-25,Boone,293,3298
2020-10-25,Brown,12,136
2020-10-25,Bureau,128,1370
2020-10-25,Calhoun,12,112
2020-10-25,Carroll,27,560
2020-10-25,Cass,61,777
2020-10-25,Champaign,2028,191483
2020-10-25,Chicago,9716,134406
2020-10-25,Christian,52,1457
2020-10-25,Clark,51,761
2020-10-25,Clay,25,665
2020-10-25,Clinton,221,2092
2020-10-25,Coles,345,4060
2020-10-25,Cook,9396,121248
2020-10-25,Crawford,65,836
2020-10-25,Cumberland,34,542
2020-10-25,De Witt,27,918
2020-10-25,DeKalb,393,6988
2020-10-25,Douglas,128,2070
2020-10-25,DuPage,3069,46108
2020-10-25,Edgar,22,445
2020-10-25,Edwards,23,258
2020-10-25,Effingham,170,1765
2020-10-25,Fayette,83,930
2020-10-25,Ford,20,932
2020-10-25,Franklin,166,1746
2020-10-25,Fulton,96,1911
2020-10-25,Gallatin,18,197
2020-10-25,Greene,25,569
2020-10-25,Grundy,164,2227
2020-10-25,Hamilton,14,292
2020-10-25,Hancock,32,516
2020-10-25,Hardin,9,119
2020-10-25,Henderson,9,242
2020-10-25,Henry,123,2401
2020-10-25,Illinois,48792,860718
2020-10-25,Iroquois,50,1487
2020-10-25,Jackson,259,3286
2020-10-25,Jasper,37,421
2020-10-25,Jefferson,95,1457
2020-10-25,Jersey,54,770
2020-10-25,Jo Daviess,70,974
2020-10-25,Johnson,37,471
2020-10-25,Kane,2449,27370
2020-10-25,Kankakee,495,6329
2020-10-25,Kendall,362,6649
2020-10-25,Knox,179,3326
2020-10-25,Lake,3393,37308
2020-10-25,LaSalle,283,4108
2020-10-25,Lawrence,41,919
2020-10-25,Lee,75,1334
2020-10-25,Livingston,88,2118
2020-10-25,Logan,54,2352
2020-10-25,Macon,396,5800
2020-10-25,Macoupin,107,2773
2020-10-25,Madison,965,11623
2020-10-25,Marion,105,1826
2020-10-25,Marshall,22,592
2020-10-25,Mason,50,975
2020-10-25,Massac,22,376
2020-10-25,McDonough,136,1716
2020-10-25,McHenry,856,11749
2020-10-25,McLean,942,18108
2020-10-25,Menard,27,872
2020-10-25,Mercer,33,967
2020-10-25,Monroe,105,1467
2020-10-25,Montgomery,53,1747
2020-10-25,Morgan,45,1579
2020-10-25,Moultrie,64,1079
2020-10-25,Ogle,145,2856
2020-10-25,Peoria,880,16096
2020-10-25,Perry,56,890
2020-10-25,Piatt,35,2121
2020-10-25,Pike,26,570
2020-10-25,Pope,0,101
2020-10-25,Pulaski,31,210
2020-10-25,Putnam,12,192
2020-10-25,Randolph,154,1843
2020-10-25,Richland,46,1318
2020-10-25,Rock Island,395,7992
2020-10-25,Saline,66,1098
2020-10-25,Sangamon,547,14213
2020-10-25,Schuyler,13,236
2020-10-25,Scott,11,338
2020-10-25,Shelby,66,1116
2020-10-25,St. Clair,1100,12009
2020-10-25,Stark,13,412
2020-10-25,Stephenson,114,2286
2020-10-25,Tazewell,426,10267
2020-10-25,Unassigned,6,6425
2020-10-25,Union,83,839
2020-10-25,Vermilion,325,5380
